Language,Algorithm,Matrix Size,Time,L1 DCM,L2 DCM
cpp,1,600,0.253651,244858471,40962658
cpp,1,600,0.237813,244837235,41116617
cpp,1,600,0.239115,244838417,41104855
cpp,1,1000,2.01265,1219747024,284886195
cpp,1,1000,1.88023,1219789192,286948557
cpp,1,1000,1.80224,1219794527,288965289
cpp,1,1400,5.96171,3459306359,1355479495
cpp,1,1400,5.95653,3459227356,1355768204
cpp,1,1400,5.95346,3459282280,1356116781
cpp,1,1800,23.5125,9084574603,8446809881
cpp,1,1800,23.4591,9084632375,8446627654
cpp,1,1800,23.4373,9084698560,8446426285
cpp,1,2200,49.4328,17646711009,23872411104
cpp,1,2200,49.4229,17646744764,23871565820
cpp,1,2200,49.4204,17646776570,23874046284
cpp,1,2600,87.4081,30881989421,52002075718
cpp,1,2600,87.2604,30881958909,51991086757
cpp,1,2600,87.2686,30882212178,51988835427
cpp,1,3000,145.109,50313132141,95176960589
cpp,1,3000,145.819,50313097358,95153918757
cpp,1,3000,144.961,50313766743,95190504844
java,1,600,0.279842992,,
java,1,600,0.260229577,,
java,1,600,0.260647281,,
java,1,1000,2.19660055,,
java,1,1000,2.181748294,,
java,1,1000,2.179022598,,
java,1,1400,6.730936737,,
java,1,1400,6.719043896,,
java,1,1400,6.709702846,,
java,1,1800,24.17683333,,
java,1,1800,24.168686223,,
java,1,1800,24.157474751,,
java,1,2200,49.944859426,,
java,1,2200,49.927090001,,
java,1,2200,49.926599984,,
java,1,2600,88.322671737,,
java,1,2600,88.148219155,,
java,1,2600,87.922327768,,
java,1,3000,143.356320822,,
java,1,3000,143.843272162,,
java,1,3000,143.176870269,,
