Language,Algorithm,Matrix Size,Time,L1 DCM,L2 DCM
cpp,2,600,0.139414,27145684,57610571
cpp,2,600,0.12591,27145027,57615796
cpp,2,600,0.126129,27145006,57611961
cpp,2,1000,0.701944,125902951,258628452
cpp,2,1000,0.703538,125903679,258639622
cpp,2,1000,0.701377,125906097,258493133
cpp,2,1400,2.03514,347963446,695474118
cpp,2,1400,2.0356,347970401,695931505
cpp,2,1400,2.03643,347967344,695025813
cpp,2,1800,4.41983,748895674,1484831119
cpp,2,1800,4.43711,748888273,1487503737
cpp,2,1800,4.43557,748900235,1486205075
cpp,2,2200,8.3583,2073995825,2715747647
cpp,2,2200,8.35692,2073995731,2718741842
cpp,2,2200,8.36002,2073987040,2716459445
cpp,2,2600,14.2705,4399598493,4505323423
cpp,2,2600,14.1494,4399599073,4487132551
cpp,2,2600,14.2078,4399594458,4502641384
cpp,2,3000,22.3457,6762559444,6988164313
cpp,2,3000,22.3188,6762559744,6984638846
cpp,2,3000,22.3169,6762545220,6985570316
java,2,600,0.159693042,,
java,2,600,0.138698602,,
java,2,600,0.137494759,,
java,2,1000,0.766562862,,
java,2,1000,0.751089285,,
java,2,1000,0.74879676,,
java,2,1400,2.182960492,,
java,2,1400,2.171729563,,
java,2,1400,2.168403844,,
java,2,1800,4.669763329,,
java,2,1800,4.643615922,,
java,2,1800,4.641112541,,
java,2,2200,8.607247854,,
java,2,2200,8.674028284,,
java,2,2200,8.493481514,,
java,2,2600,14.418172446,,
java,2,2600,14.374951897,,
java,2,2600,14.372706729,,
java,2,3000,21.998690761,,
java,2,3000,22.01286142,,
java,2,3000,21.995641124,,
