Language,Algorithm,Matrix Size,Time,L1 DCM,L2 DCM
cpp,2,4096,60.6114,17674468739,18078623622
cpp,2,4096,63.0028,17673193994,18006003968
cpp,2,4096,67.8779,17669312099,17827974132
cpp,2,6144,217.233,59643746523,61413473942
cpp,2,6144,211.138,59639592353,61425965511
cpp,2,6144,214.396,59631868793,62724119712
cpp,2,8192,472.649,141305700512,161126722299
cpp,2,8192,492.408,141235003158,163178225868
cpp,2,8192,593.56,141190088756,159433869535
cpp,2,10240,1089.92,275584069293,341847155044
cpp,2,10240,1077.3,275600431885,342313273109
cpp,2,10240,1021.72,275599200047,344215132306
