Language,Algorithm,Matrix Size,Time,L1 DCM,L2 DCM
cpp,2,4096,63.9247,17671395416,18063492741
cpp,2,4096,64.1643,17670753230,18049940483
cpp,2,4096,68.2852,17666015834,17929880372
cpp,2,6144,219.044,59626339804,61776829689
cpp,2,6144,218.185,59625594388,62510321743
cpp,2,6144,219.072,59627479918,62441665465
cpp,2,8192,510.864,141268018327,157091574261
cpp,2,8192,511.295,141275712248,154812037582
cpp,2,8192,518.382,141261576599,157082508910
cpp,2,10240,998.24,275645512502,339008178036
cpp,2,10240,956.218,275654203430,342665641712
cpp,2,10240,1028.07,275554097787,343341456629
