Language,Algorithm,Matrix Size,Time,L1 DCM,L2 DCM
cpp,2,600,0.14625,27155567,54405262
cpp,2,600,0.14299,27154745,54411303
cpp,2,600,0.140686,27155178,54424513
cpp,2,1000,0.810868,125909368,253259879
cpp,2,1000,0.827001,125933813,251833760
cpp,2,1000,0.867676,125962970,251953419
cpp,2,1400,2.35585,348130949,693162595
cpp,2,1400,2.35425,348095414,693977488
cpp,2,1400,2.31903,348076983,689914600
cpp,2,1800,5.09746,748984157,1497719860
cpp,2,1800,4.98354,748974987,1498431684
cpp,2,1800,4.90547,748926356,1499206948
cpp,2,2200,9.39826,2073816921,2768697317
cpp,2,2200,9.06952,2073683297,2760638427
cpp,2,2200,9.29185,2073547086,2745796580
cpp,2,2600,16.5516,4398324432,4512972879
cpp,2,2600,16.1581,4398678500,4522354063
cpp,2,2600,15.5836,4399384973,4528615516
cpp,2,3000,23.2052,6762174752,7025140730
cpp,2,3000,24.9865,6762182701,6951790153
cpp,2,3000,25.5233,6762203116,6924864466
java,2,600,0.253408918,,
java,2,600,0.210471551,,
java,2,600,0.213794944,,
java,2,1000,0.91895495,,
java,2,1000,0.892919097,,
java,2,1000,0.896158492,,
java,2,1400,2.487942711,,
java,2,1400,2.56434963,,
java,2,1400,2.667525517,,
java,2,1800,5.374367703,,
java,2,1800,5.568191844,,
java,2,1800,6.79783353,,
java,2,2200,11.297877308,,
java,2,2200,10.074361476,,
java,2,2200,10.569532692,,
java,2,2600,17.498425589,,
java,2,2600,17.693053998,,
java,2,2600,22.08116032,,
java,2,3000,32.05463953,,
java,2,3000,28.016578867,,
java,2,3000,26.052693268,,
