Language,Algorithm,Matrix Size,Time,L1 DCM,L2 DCM
cpp,"[3, 64]",4096,45.3936,10730345330,16206622062
cpp,"[3, 64]",4096,45.1315,10730397914,16205841525
cpp,"[3, 64]",4096,45.1171,10730556431,16206069856
cpp,"[3, 64]",6144,158.342,36151445417,82664869055
cpp,"[3, 64]",6144,158.381,36151721418,82665671569
cpp,"[3, 64]",6144,158.331,36151682159,82666886781
cpp,"[3, 64]",8192,385.672,85696420697,222594311400
cpp,"[3, 64]",8192,385.634,85695457657,222591027678
cpp,"[3, 64]",8192,385.612,85695792483,222588650384
cpp,"[3, 64]",10240,761.454,167184183128,473128974551
cpp,"[3, 64]",10240,761.533,167184801210,473129074212
cpp,"[3, 64]",10240,761.44,167184306992,473130074740
cpp,"[3, 1024]",4096,52.6371,8786136769,18795536136
cpp,"[3, 1024]",4096,52.6457,8786076270,18794682169
cpp,"[3, 1024]",4096,52.6309,8786187102,18796939804
cpp,"[3, 1024]",6144,185.426,29704712660,63287837132
cpp,"[3, 1024]",6144,184.879,29704372513,63313186796
cpp,"[3, 1024]",6144,185.126,29704310786,63314625367
cpp,"[3, 1024]",8192,446.94,70423751886,150206745398
cpp,"[3, 1024]",8192,446.561,70424810013,150116511540
cpp,"[3, 1024]",8192,446.292,70424484700,150094264266
cpp,"[3, 1024]",10240,880.234,137528158061,293262396526
cpp,"[3, 1024]",10240,879.646,137526899833,293229578194
cpp,"[3, 1024]",10240,879.304,137527831154,293155027776
