Language,Algorithm,Matrix Size,Time,L1 DCM,L2 DCM
cpp,"[3, 128]",4096,51.2877,9656347271,31366125268
cpp,"[3, 128]",4096,51.392,9663219846,31373924418
cpp,"[3, 128]",4096,55.6315,9663542295,31212013772
cpp,"[3, 128]",6144,183.336,32587446408,104231661372
cpp,"[3, 128]",6144,178.849,32539085591,104637471420
cpp,"[3, 128]",6144,179.747,32558672041,104824634971
cpp,"[3, 128]",8192,455.545,77339543074,230768465781
cpp,"[3, 128]",8192,473.267,77392836091,230491117667
cpp,"[3, 128]",8192,454.148,77359899884,230646575208
cpp,"[3, 128]",10240,870.633,150969079541,491197299493
cpp,"[3, 128]",10240,881.762,150902457284,488597083467
cpp,"[3, 128]",10240,890.339,150911259430,489425996240
cpp,"[3, 256]",4096,46.2928,9069024552,22309077549
cpp,"[3, 256]",4096,46.9181,9068308012,22309877053
cpp,"[3, 256]",4096,47.0439,9068783179,22306923021
cpp,"[3, 256]",6144,169.997,30606757016,75144485606
cpp,"[3, 256]",6144,172.215,30615633909,75110208550
cpp,"[3, 256]",6144,168.809,30620325878,75105430412
cpp,"[3, 256]",8192,487.527,72663785341,178531754119
cpp,"[3, 256]",8192,453.532,72672654408,179067001690
cpp,"[3, 256]",8192,412.331,72642896062,179920981048
cpp,"[3, 256]",10240,758.974,141855479822,355133127221
cpp,"[3, 256]",10240,796.596,141883148428,349589807254
cpp,"[3, 256]",10240,806.954,141861892090,350270816403
cpp,"[3, 512]",4096,45.1261,8773808784,18703043720
cpp,"[3, 512]",4096,45.6527,8773982843,18703664751
cpp,"[3, 512]",4096,45.5143,8774548898,18705446167
cpp,"[3, 512]",6144,157.013,29651179612,66661565548
cpp,"[3, 512]",6144,159.005,29655739567,63305225871
cpp,"[3, 512]",6144,166.365,29657492057,66276611178
cpp,"[3, 512]",8192,567.084,70254262675,152202256342
cpp,"[3, 512]",8192,500.369,70220810523,152785525773
cpp,"[3, 512]",8192,466.764,70219658168,155914878478
cpp,"[3, 512]",10240,905.801,137153540972,302035508126
cpp,"[3, 512]",10240,905.609,137141490949,300086061365
cpp,"[3, 512]",10240,932.214,137133346929,304757461125
