Language,Algorithm,Matrix Size,Time,L1 DCM,L2 DCM
cpp,1,600,0.318695,244410879,58958540
cpp,1,600,0.316903,244410311,58699465
cpp,1,600,0.315131,244418305,58658969
cpp,1,1000,2.45011,1224310099,558861251
cpp,1,1000,2.46529,1224309051,558037864
cpp,1,1000,2.46761,1224337443,558266758
cpp,1,1400,6.51167,3393581276,3162856130
cpp,1,1400,6.52304,3393505875,3153814337
cpp,1,1400,6.47722,3393472446,3161683158
cpp,1,1800,24.6227,9056471952,10849808957
cpp,1,1800,23.6811,9056360657,10835312227
cpp,1,1800,23.1689,9056316982,10841918841
cpp,1,2200,50.1306,17632240704,24867048420
cpp,1,2200,49.7549,17634566403,24900550396
cpp,1,2200,49.7536,17634578264,24901082287
cpp,1,2600,85.283,30888509599,52334878109
cpp,1,2600,85.3269,30888334011,52333425712
cpp,1,2600,85.2801,30888384842,52331334114
cpp,1,3000,140.123,50277107799,94921949576
cpp,1,3000,140.159,50277172345,94927740792
cpp,1,3000,140.142,50277260900,94926180218
java,1,600,0.285406073,,
java,1,600,0.263738114,,
java,1,600,0.263599855,,
java,1,1000,2.141733421,,
java,1,1000,2.130573693,,
java,1,1000,2.126286843,,
java,1,1400,6.654217569,,
java,1,1400,6.61720514,,
java,1,1400,6.61670974,,
java,1,1800,23.707402027,,
java,1,1800,23.694405382,,
java,1,1800,23.692628653,,
java,1,2200,49.659035034,,
java,1,2200,49.655894189,,
java,1,2200,49.645161547,,
java,1,2600,86.52776734,,
java,1,2600,86.515504618,,
java,1,2600,86.512708248,,
java,1,3000,143.661756215,,
java,1,3000,143.679241739,,
java,1,3000,143.682744919,,
