Language,Algorithm,Matrix Size,Time,L1 DCM,L2 DCM
cpp,1,600,0.273526,244432309,45443790
cpp,1,600,0.263923,244431313,45444360
cpp,1,600,0.269778,244447071,45429735
cpp,1,1000,2.28682,1213233873,280506193
cpp,1,1000,2.34734,1213285950,277441919
cpp,1,1000,2.50338,1213379212,272285209
cpp,1,1400,6.73254,3531608504,1426085509
cpp,1,1400,6.85547,3531498329,1423971027
cpp,1,1400,6.80561,3531493583,1423473777
cpp,1,1800,27.2264,9072236943,7977343439
cpp,1,1800,26.0574,9071945582,7974159112
cpp,1,1800,27.1538,9072164231,7985449258
cpp,1,2200,55.1607,17638018843,24461510769
cpp,1,2200,56.9168,17637357513,24389093261
cpp,1,2200,55.4841,17638020204,24404288058
cpp,1,2600,95.012,30863955365,51816460241
cpp,1,2600,102.704,30863034261,51860119701
cpp,1,2600,103.6,30861655168,51801001600
cpp,1,3000,163.89,50267578719,95830450349
cpp,1,3000,150.552,50270548460,95682703965
cpp,1,3000,152.2,50271027354,95534617215
java,1,600,0.387553861,,
java,1,600,0.456860158,,
java,1,600,0.311550011,,
java,1,1000,2.271844667,,
java,1,1000,2.364870879,,
java,1,1000,2.482546235,,
java,1,1400,7.066104379,,
java,1,1400,7.189788512,,
java,1,1400,7.102377383,,
java,1,1800,25.759852414,,
java,1,1800,25.954032414,,
java,1,1800,25.280597667,,
java,1,2200,54.76050109,,
java,1,2200,54.45346498,,
java,1,2200,53.219346182,,
java,1,2600,96.000507705,,
java,1,2600,94.75472966,,
java,1,2600,94.059668273,,
java,1,3000,156.486621802,,
java,1,3000,158.835956741,,
java,1,3000,158.932470607,,
