Language,Algorithm,Matrix Size,Time,L1 DCM,L2 DCM
cpp,"[3, 128]",4096,44.9874,9625692640,29446750294
cpp,"[3, 128]",4096,44.9904,9625797263,29446695969
cpp,"[3, 128]",4096,44.9843,9625897479,29447580489
cpp,"[3, 128]",6144,153.277,32480530670,101400004442
cpp,"[3, 128]",6144,153.284,32480586532,101400823875
cpp,"[3, 128]",6144,153.325,32480432393,101399090323
cpp,"[3, 128]",8192,367.991,77012942235,247050056053
cpp,"[3, 128]",8192,367.967,77012395391,247048075441
cpp,"[3, 128]",8192,367.956,77013512922,247053523771
cpp,"[3, 128]",10240,754.61,150411718161,485689825255
cpp,"[3, 128]",10240,754.412,150406823222,485678868739
cpp,"[3, 128]",10240,755.533,150412961562,485703366608
cpp,"[3, 256]",4096,41.9401,9061139129,22906352423
cpp,"[3, 256]",4096,41.9482,9061677161,22903754930
cpp,"[3, 256]",4096,41.9519,9060999206,22906261207
cpp,"[3, 256]",6144,142.415,30579481873,77190959056
cpp,"[3, 256]",6144,142.412,30580284812,77185613968
cpp,"[3, 256]",6144,142.385,30579706266,77188612196
cpp,"[3, 256]",8192,341.196,72490335733,183300049884
cpp,"[3, 256]",8192,341.096,72489660967,183299263446
cpp,"[3, 256]",8192,341.127,72490202213,183299809303
cpp,"[3, 256]",10240,679.248,141573627935,357545508809
cpp,"[3, 256]",10240,679.074,141572146810,357545999315
cpp,"[3, 256]",10240,679.058,141571496445,357542124083
cpp,"[3, 512]",4096,41.941,8773259875,19834530552
cpp,"[3, 512]",4096,41.9621,8773241606,19833707914
cpp,"[3, 512]",4096,41.9347,8773252900,19836816329
cpp,"[3, 512]",6144,148.219,29643423162,66983006257
cpp,"[3, 512]",6144,148.217,29643452646,66985286290
cpp,"[3, 512]",6144,148.308,29643434980,66964123499
cpp,"[3, 512]",8192,367.647,70161449089,158662859596
cpp,"[3, 512]",8192,387.634,70169612068,158362245765
cpp,"[3, 512]",8192,367.621,70161482514,158653503549
cpp,"[3, 512]",10240,736.125,137062487801,308095279516
cpp,"[3, 512]",10240,736.063,137062248763,308107058928
cpp,"[3, 512]",10240,735.959,137062467114,308108281647
