Language,Algorithm,Matrix Size,Time,L1 DCM,L2 DCM
cpp,1,600,0.28088,244599607,41604246
cpp,1,1000,1.91721,1220637015,258804202
cpp,1,1400,5.43266,3487802461,1527617449
cpp,1,1800,24.1134,9070953658,11287727415
cpp,1,2200,49.9704,17646418142,24277248063
cpp,1,2600,92.6717,30909092354,52136548906
cpp,1,3000,156.206,50310164642,94397668340
java,1,600,0.288644199,,
java,1,1000,2.159769803,,
java,1,1400,6.161537324,,
java,1,1800,25.187976262,,
java,1,2200,52.384132101,,
java,1,2600,91.546047572,,
java,1,3000,153.755425561,,
