Language,Algorithm,Matrix Size,Time,L1 DCM,L2 DCM
cpp,"[4, 128]",4096,50.1126,9640011068,30869219338
cpp,"[4, 128]",4096,49.4214,9642971380,30827940407
cpp,"[4, 128]",4096,49.1492,9641038156,30828349604
cpp,"[4, 128]",6144,170.469,32521556941,106850516500
cpp,"[4, 128]",6144,169.101,32524273346,106997404375
cpp,"[4, 128]",6144,171.13,32523234821,106982273742
cpp,"[4, 128]",8192,506.616,77244234787,252149376063
cpp,"[4, 128]",8192,501.015,77239407850,252262731845
cpp,"[4, 128]",8192,507.895,77239286298,252179908878
cpp,"[4, 128]",10240,828.067,150582105413,486522317525
cpp,"[4, 128]",10240,845.033,150576240453,486060816192
cpp,"[4, 128]",10240,847.47,150567763309,486323738301
cpp,"[4, 256]",4096,48.2487,9062096324,22892401830
cpp,"[4, 256]",4096,47.9121,9062813802,22890124113
cpp,"[4, 256]",4096,46.3381,9061934446,22879216915
cpp,"[4, 256]",6144,195.547,30592123772,76656997904
cpp,"[4, 256]",6144,192.131,30590573917,76793647322
cpp,"[4, 256]",6144,193.534,30589449982,76797970873
cpp,"[4, 256]",8192,432.142,72516424759,180016253448
cpp,"[4, 256]",8192,392.234,72511741741,178369256556
cpp,"[4, 256]",8192,392.374,72511859767,178353589936
cpp,"[4, 256]",10240,764.235,141612455342,347646467689
cpp,"[4, 256]",10240,763.887,141596789699,350718708216
cpp,"[4, 256]",10240,784.201,141621843151,347343775350
cpp,"[4, 512]",4096,48.4393,8774565152,18709773102
cpp,"[4, 512]",4096,50.3522,8775534058,18716176325
cpp,"[4, 512]",4096,53.7516,8777454968,18696114062
cpp,"[4, 512]",6144,195.285,29659419527,64612124985
cpp,"[4, 512]",6144,199.946,29655711575,66092359515
cpp,"[4, 512]",6144,201.091,29649675987,66614711050
cpp,"[4, 512]",8192,457.468,70181829398,156709260913
cpp,"[4, 512]",8192,418.84,70167450905,157623231865
cpp,"[4, 512]",8192,423.338,70170104871,158145121541
cpp,"[4, 512]",10240,775.609,137080980106,296355709769
cpp,"[4, 512]",10240,774.355,137075715989,301777320462
cpp,"[4, 512]",10240,774.501,137079550071,308825712646
